2014-03-31 | 04:00:18 | (Log)     | Reset by power-button.
2014-03-31 | 04:00:20 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:00 | (Log)     | 	 Time: 1396238400
2014-03-31 | 04:00:00 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:01 | (Log)     | 	 Pluviometer: 1.778000
2014-03-31 | 04:00:01 | (Log)     | 	 Wetting: 178.004074
2014-03-31 | 04:00:01 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:01 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:01 | (Log)     | 	 Soil temperature: 31.931429
2014-03-31 | 04:00:01 | (Log)     | 	 Soil humidity: 4.230770
2014-03-31 | 04:00:01 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:00:01 | (Log)     | 	 Battery voltage: 8.959332
2014-03-31 | 04:00:01 | (Log)     | 	 CRC: 1368339520
2014-03-31 | 04:00:01 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:01 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:02 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:05 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:05 | (Log)     | 	 Time: 1396238405
2014-03-31 | 04:00:05 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:06 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:00:06 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:00:06 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:06 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:06 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:00:06 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:00:06 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:00:06 | (Log)     | 	 Battery voltage: 8.660932
2014-03-31 | 04:00:06 | (Log)     | 	 CRC: 784558054
2014-03-31 | 04:00:06 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:06 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:07 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:10 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:10 | (Log)     | 	 Time: 1396238410
2014-03-31 | 04:00:10 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:11 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:00:11 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:00:11 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:11 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:11 | (Log)     | 	 Soil temperature: 28.864000
2014-03-31 | 04:00:11 | (Log)     | 	 Soil humidity: 3.243235
2014-03-31 | 04:00:11 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:00:11 | (Log)     | 	 Battery voltage: 8.587254
2014-03-31 | 04:00:11 | (Log)     | 	 CRC: 784454987
2014-03-31 | 04:00:11 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:11 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:12 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:15 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:15 | (Log)     | 	 Time: 1396238415
2014-03-31 | 04:00:15 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:16 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:00:16 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:00:16 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:16 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:16 | (Log)     | 	 Soil temperature: 28.864000
2014-03-31 | 04:00:16 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:00:16 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:00:16 | (Log)     | 	 Battery voltage: 8.557782
2014-03-31 | 04:00:16 | (Log)     | 	 CRC: 784374560
2014-03-31 | 04:00:16 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:16 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:17 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:20 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:20 | (Log)     | 	 Time: 1396238420
2014-03-31 | 04:00:20 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:21 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:00:21 | (Log)     | 	 Wetting: 218.429260
