2014-03-31 | 04:02:31 | (Log)     | Reset by power-button.
2014-03-31 | 04:02:33 | (Log)     | set state: 0.
2014-03-31 | 04:02:33 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:01 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:00:15 | (Log)     | set state: 2.
2014-03-31 | 04:00:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:16 | (Log)     | set state: 3.
2014-03-31 | 04:00:16 | (Log)     | set state: 4.
2014-03-31 | 04:00:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:00:30 | (Log)     | set state: 2.
2014-03-31 | 04:00:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:30 | (Log)     | set state: 3.
2014-03-31 | 04:00:31 | (Log)     | set state: 4.
2014-03-31 | 04:00:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:00:45 | (Log)     | set state: 2.
2014-03-31 | 04:00:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:46 | (Log)     | set state: 3.
2014-03-31 | 04:00:46 | (Log)     | set state: 4.
2014-03-31 | 04:00:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:01:00 | (Log)     | set state: 2.
2014-03-31 | 04:01:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:01:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:01:01 | (Log)     | set state: 3.
2014-03-31 | 04:01:01 | (Log)     | set state: 4.
2014-03-31 | 04:01:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:01:15 | (Log)     | set state: 2.
2014-03-31 | 04:01:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:01:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:01:16 | (Log)     | set state: 3.
2014-03-31 | 04:01:16 | (Log)     | set state: 4.
2014-03-31 | 04:01:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:01:30 | (Log)     | set state: 2.
2014-03-31 | 04:01:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:01:31 | (Log)     | readSensors() concluida
2014-03-31 | 04:01:31 | (Log)     | set state: 3.
2014-03-31 | 04:01:31 | (Log)     | set state: 4.
2014-03-31 | 04:01:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:01:45 | (Log)     | set state: 2.
2014-03-31 | 04:01:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:01:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:01:45 | (Log)     | set state: 3.
2014-03-31 | 04:01:46 | (Log)     | set state: 4.
2014-03-31 | 04:01:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:02:00 | (Log)     | set state: 2.
2014-03-31 | 04:02:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:02:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:02:00 | (Log)     | set state: 3.
2014-03-31 | 04:02:01 | (Log)     | set state: 4.
2014-03-31 | 04:02:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:02:15 | (Log)     | set state: 2.
2014-03-31 | 04:02:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:02:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:02:15 | (Log)     | set state: 3.
2014-03-31 | 04:02:16 | (Log)     | set state: 4.
2014-03-31 | 04:02:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:02:30 | (Log)     | set state: 2.
2014-03-31 | 04:02:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:02:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:02:31 | (Log)     | set state: 3.
2014-03-31 | 04:02:31 | (Log)     | set state: 4.
***** Inserting faults *****
2014-03-31 | 04:02:33 | (Log)     | set state: 1.
2014-03-31 | 04:02:45 | (Log)     | set state: 2.
2014-03-31 | 04:02:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:02:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:02:46 | (Log)     | set state: 3.
2014-03-31 | 04:02:46 | (Log)     | set state: 4.
2014-03-31 | 04:02:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:03:00 | (Log)     | set state: 2.
2014-03-31 | 04:03:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:03:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:03:01 | (Log)     | set state: 3.
2014-03-31 | 04:03:01 | (Log)     | set state: 4.
2014-03-31 | 04:03:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:03:15 | (Log)     | set state: 2.
2014-03-31 | 04:03:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:03:16 | (Log)     | readSensors() concluida
2014-03-31 | 04:03:16 | (Log)     | set state: 3.
2014-03-31 | 04:03:16 | (Log)     | set state: 4.
2014-03-31 | 04:03:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:03:30 | (Log)     | set state: 2.
2014-03-31 | 04:03:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:03:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:03:31 | (Log)     | set state: 3.
2014-03-31 | 04:03:31 | (Log)     | set state: 4.
2014-03-31 | 04:03:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:03:45 | (Log)     | set state: 2.
2014-03-31 | 04:03:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:03:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:03:46 | (Log)     | set state: 3.
2014-03-31 | 04:03:46 | (Log)     | set state: 4.
***** Inserting faults *****
2014-03-31 | 04:03:48 | (Log)     | set state: 1.
2014-03-31 | 04:04:00 | (Log)     | set state: 2.
2014-03-31 | 04:04:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:04:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:04:00 | (Log)     | set state: 3.
2014-03-31 | 04:04:01 | (Log)     | set state: 4.
2014-03-31 | 04:04:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:04:15 | (Log)     | set state: 2.
2014-03-31 | 04:04:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:04:16 | (Log)     | readSensors() concluida
2014-03-31 | 04:04:16 | (Log)     | set state: 3.
2014-03-31 | 04:04:16 | (Log)     | set state: 4.
2014-03-31 | 04:04:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:04:30 | (Log)     | set state: 2.
2014-03-31 | 04:04:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:04:31 | (Log)     | readSensors() concluida
2014-03-31 | 04:04:31 | (Log)     | set state: 3.
2014-03-31 | 04:04:31 | (Log)     | set state: 4.
