2014-03-31 | 04:00:20 | (Log)     | Reset by watchdog.
2014-03-31 | 04:00:22 | (Log)     | goToState() - restore from state 0.
2014-03-31 | 04:00:22 | (Log)     | set state: 0.
2014-03-31 | 04:00:22 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:01 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:02 | (Log)     | set state: 1.
2014-03-31 | 04:00:12 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:15 | (Log)     | set state: 2.
2014-03-31 | 04:00:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:16 | (Log)     | set state: 3.
2014-03-31 | 04:00:16 | (Log)     | set state: 4.
2014-03-31 | 04:00:17 | (Log)     | set state: 1.
2014-03-31 | 04:00:27 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:35 | (Log)     | Reset by watchdog.
2014-03-31 | 04:00:37 | (Log)     | goToState() - restore from state 0.
2014-03-31 | 04:00:37 | (Log)     | set state: 0.
2014-03-31 | 04:00:37 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:00 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:01 | (Log)     | set state: 1.
2014-03-31 | 04:00:02 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:15 | (Log)     | set state: 2.
2014-03-31 | 04:00:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:16 | (Log)     | set state: 3.
2014-03-31 | 04:00:16 | (Log)     | set state: 4.
2014-03-31 | 04:00:17 | (Log)     | set state: 1.
2014-03-31 | 04:00:29 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:34 | (Log)     | Reset by watchdog.
2014-03-31 | 04:00:36 | (Log)     | goToState() - restore from state 0.
2014-03-31 | 04:00:36 | (Log)     | set state: 0.
2014-03-31 | 04:00:36 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:00 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:02 | (Log)     | set state: 1.
2014-03-31 | 04:00:06 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:15 | (Log)     | set state: 2.
2014-03-31 | 04:00:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:15 | (Log)     | set state: 3.
2014-03-31 | 04:00:16 | (Log)     | set state: 4.
